ds,y,yhat,yhat_lower,yhat_upper,anomaly
2022-11-06 10:00:00,6.0884,5.98359960596088,3.9996689717004026,8.258058331973988,0
2022-11-06 11:00:00,4.9749,6.417180483089069,4.402706043160874,8.60115982664115,0
2022-11-06 12:00:00,4.7996,6.992422180812543,5.0028968649895935,9.03805278804448,1
2022-11-06 13:00:00,6.5983,7.588070352462566,5.447860249445332,9.718869985154564,0
2022-11-06 14:00:00,7.6422,7.9051920483602895,5.930338505560889,9.909621596037395,0
2022-11-06 15:00:00,7.817499999999999,7.8150527985844995,5.732463819431731,9.837012082987002,0
2022-11-06 16:00:00,6.6206,7.5303421620513555,5.526071646293491,9.640446631893495,0
2022-11-06 17:00:00,7.0486,7.4085808740176375,5.258644741761891,9.318073554585203,0
2022-11-06 18:00:00,7.8688,7.577989078427683,5.419227540058012,9.558568196486387,0
2022-11-06 19:00:00,8.318,7.764104649791831,5.769673377445621,9.862150413735618,0
2022-11-06 20:00:00,6.1709,7.505535055071464,5.397684753727394,9.699840135077922,0
2022-11-06 21:00:00,5.6766000000000005,6.564233363114623,4.463587174145381,8.763354404659825,0
2022-11-06 22:00:00,5.0384,5.1413730121825285,3.0828793767559195,7.211928224599423,0
2022-11-06 23:00:00,3.5265000000000004,3.698574855756937,1.6168937343553573,5.838780944866474,0
2022-11-07 00:00:00,2.7701000000000002,2.568658493120024,0.3630369393099855,4.6413318990577,0
2022-11-07 01:00:00,2.4923,1.7382835922471043,-0.40868349310302293,3.610949107163887,0
2022-11-07 02:00:00,0.3449,1.0015682553467289,-1.0499170834208764,2.967656016942263,0
2022-11-07 03:00:00,0.5168,0.30512899852483244,-2.0005693231319506,2.3130782054200623,0
2022-11-07 04:00:00,0.35309999999999997,-0.08828291925997256,-2.1047551281276866,1.9178324148071115,0
2022-11-07 05:00:00,0.5256000000000001,0.19580982864626328,-1.8547317821450293,2.290115285312498,0
2022-11-07 06:00:00,1.4308,1.2631595213563478,-0.9384258526501147,3.4080731930713357,0
2022-11-07 07:00:00,3.0972999999999997,2.776358679669933,0.7768746876806544,4.811055637263197,0
2022-11-07 08:00:00,5.4633,4.176386219748375,1.9740460128056183,6.250192171130761,0
2022-11-07 09:00:00,4.2338000000000005,5.104244196947195,2.9902892611003473,7.144988725337417,0
2022-11-07 10:00:00,7.415100000000001,5.630223325434407,3.7298857311321867,7.779937716326087,0
2022-11-07 11:00:00,5.6895999999999995,6.086617949451561,3.8993953051295476,8.140117708272982,0
2022-11-07 12:00:00,5.9533,6.686241062875579,4.647197017591423,8.771810102090884,0
